stop_id,stop_name,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
"de:07334:1748:4:91","Germersheim Mitte","49.219873441238","8.37687985710902","","","","Pde:07334:1748"
"de:07334:1748:4:92","Germersheim Mitte","49.2199907894608","8.37687985710902","","","","Pde:07334:1748"
"de:07334:1752:1:1","Wörth Ottstraße","49.0519863677162","8.26824658978532","","","","Pde:07334:1752"
"de:07334:1752:1:2","Wörth Ottstraße","49.0516743385288","8.26833642131375","","","","Pde:07334:1752"
"de:07334:1753:1:1","Wörth Wasserturm","49.0485657144032","8.25756562105566","","","","Pde:07334:1753"
"de:07334:1753:1:2","Wörth Wasserturm","49.0486481425514","8.25747578952723","","","","Pde:07334:1753"
"de:07334:1754:1:1","Wörth Silcherstraße","49.0561190978588","8.24535751634277","","","",""
"de:07334:1755:1:1","Wörth Richard-Wagner-Str.","49.0532580135842","8.24165645737169","","","","Pde:07334:1755"
"de:07334:32429:0:1","Wörth Dorschbergstraße","49.0502142514034","8.2515648749569","","","","Pde:07334:32429"
"de:07334:32429:0:2","Wörth Dorschbergstraße","49.0501965887967","8.25144809396995","","","","Pde:07334:32429"
"de:07334:32431:0:1","Wörth Berufsschule","49.0513505325843","8.24737872573232","","","","Pde:07334:32431"
"de:07334:32451:1:1","Rülzheim Bf.","49.1610645626028","8.29097396647671","","","","Pde:07334:32451"
"de:07334:32451:2:11","Rülzheim Bahnhof","49.1608295861698","8.29057870775165","","","","Pde:07334:32451"
"de:07334:32451:2:92","Rülzheim Bahnhof","49.1605123662168","8.29048887622322","","","","Pde:07334:32451"
"de:07334:32451:4:2","Rülzheim Bf.","49.1605241151402","8.28956361148045","","","","Pde:07334:32451"
"de:07334:32625:0:1","Sondernheim Scherer","49.1978715953003","8.36000949607091","","","","Pde:07334:32625"
"de:07334:32625:0:2","Sondernheim Scherer","49.1978305050749","8.36018017597491","","","","Pde:07334:32625"
"de:07334:32636:0:1","Germersheim Wasserturm","49.2122980239611","8.36576769704291","","","","Pde:07334:32636"
"de:07334:32636:0:2","Germersheim Wasserturm","49.2127029362047","8.36636058513052","","","","Pde:07334:32636"
"de:07334:32637:1:3","Germersheim","49.2257287776083","8.36495023013425","","","","Pde:07334:32637"
"de:07334:32637:2:13","Germersheim Bahnhof","49.2250247658425","8.36510294373258","","","","Pde:07334:32637"
"de:07334:32637:4:4","Germersheim","49.2256935772582","8.36491429752288","","","","Pde:07334:32637"
"de:07334:32637:4:5","Germersheim","49.2256407766861","8.36480649968877","","","","Pde:07334:32637"
"de:07334:32660:1:1","Bellheim Bf.","49.1879619925196","8.2944414634739","","","","Pde:07334:32660"
"de:07334:32660:2:11","Bellheim Bahnhof","49.1893769328772","8.29430671618126","","","","Pde:07334:32660"
"de:07334:32660:4:2","Bellheim Bf.","49.189065766892","8.29463010968359","","","","Pde:07334:32660"
"de:07334:35002:1:1","Sondernheim","49.1955352682767","8.3603688221846","","","","Pde:07334:35002"
"de:07334:35002:2:22","Sondernheim","49.1947016776532","8.36060238415851","","","","Pde:07334:35002"
"de:07334:35002:4:2","Sondernheim","49.1948073448478","8.3602610243505","","","","Pde:07334:35002"
